City,Region,Founded,Population,URL,Longitude,Latitude
Aberdeen,Scotland,1891,222793,https://en.wikipedia.org//wiki/Aberdeen,57.15,-2.11
Armagh,Northern Ireland,1994,14777,https://en.wikipedia.org//wiki/Armagh,54.3499,-6.6546
"Bangor, Wales",Wales,nan,18808,"https://en.wikipedia.org//wiki/Bangor,_Gwynedd",53.228,-4.128
Bath,South West,1090,88859,"https://en.wikipedia.org//wiki/Bath,_Somerset",51.38,-2.36
"Belfast, Béal Feirste, Bilfawst",Northern Ireland,1888,333871,https://en.wikipedia.org//wiki/Belfast,54.59639,-5.93
Birmingham,West Midlands,1889,1092330,https://en.wikipedia.org//wiki/Birmingham,52.48,-1.9025
Bradford,Yorkshire and the Humber,1897,522452,https://en.wikipedia.org//wiki/City_of_Bradford,53.792,-1.754
Brighton & Hove,South East,2001,273369,https://en.wikipedia.org//wiki/Brighton_and_Hove,50.82778,-0.15278
Bristol,South West,1542,428234,https://en.wikipedia.org//wiki/Bristol,51.45,-2.583
Cambridge,East,1951,123867,https://en.wikipedia.org//wiki/Cambridge,52.20528,0.11917
Canterbury,South East,nan,151145,https://en.wikipedia.org//wiki/City_of_Canterbury,51.28,1.08
Cardiff,Wales,1905,346090,https://en.wikipedia.org//wiki/Cardiff,51.48167,-3.17917
Carlisle,North West,1133,107524,https://en.wikipedia.org//wiki/City_of_Carlisle,54.89083,-2.94389
Chelmsford,East,2012,168310,https://en.wikipedia.org//wiki/City_of_Chelmsford,51.73528,0.47917
Chester,North West,1541,91733,https://en.wikipedia.org//wiki/Chester,53.19,-2.89
Chichester,South East,1075,26795,https://en.wikipedia.org//wiki/Chichester,50.8365,-0.7792
Colchester,East,2022,194706,https://en.wikipedia.org//wiki/Borough_of_Colchester,51.88861,0.90361
Coventry,West Midlands,1102,316915,https://en.wikipedia.org//wiki/Coventry,52.40806,-1.51056
Derby,East Midlands,1977,248752,https://en.wikipedia.org//wiki/Derby,52.92167,-1.47667
Derry,Northern Ireland,1604,107877,https://en.wikipedia.org//wiki/Derry,54.9975,-7.32
Dundee,Scotland,1889,147268,https://en.wikipedia.org//wiki/Dundee,56.462,-2.9707
Dunfermline,Scotland,2022,49706,https://en.wikipedia.org//wiki/Dunfermline,56.07192,-3.4393
Durham,North East,nan,94375,"https://en.wikipedia.org//wiki/Durham,_England",54.7761,-1.5733
Edinburgh,Scotland,18,476626,https://en.wikipedia.org//wiki/Edinburgh,55.95333,-3.18917
Ely,East,1109,20256,"https://en.wikipedia.org//wiki/Ely,_Cambridgeshire",52.39806,0.26222
Exeter,South West,nan,127709,https://en.wikipedia.org//wiki/Exeter,50.72556,-3.52694
Glasgow,Scotland,18,593245,https://en.wikipedia.org//wiki/Glasgow,55.86111,-4.25
Gloucester,South West,1541,121688,https://en.wikipedia.org//wiki/Gloucester,51.86444,-2.24444
Hereford,West Midlands,nan,58896,https://en.wikipedia.org//wiki/Hereford,52.056,-2.716
"Inverness, Inerness, Inbhir Nis",Scotland,2001,79415,https://en.wikipedia.org//wiki/Inverness,57.4778,-4.2247
Kingston upon Hull,Yorkshire and the Humber,1897,256406,https://en.wikipedia.org//wiki/Kingston_upon_Hull,53.74444,-0.3325
Lancaster,North West,1937,138375,https://en.wikipedia.org//wiki/City_of_Lancaster,54.047,-2.801
Leeds,Yorkshire and the Humber,1893,751485,https://en.wikipedia.org//wiki/City_of_Leeds,53.79972,-1.54917
Leicester,East Midlands,1919,329839,https://en.wikipedia.org//wiki/Leicester,52.63444,-1.13194
Lichfield,West Midlands,nan,32219,https://en.wikipedia.org//wiki/Lichfield,52.682,-1.829
Lincoln,East Midlands,1072,93541,"https://en.wikipedia.org//wiki/Lincoln,_England",53.22833,-0.53889
"Lisburn, Lios na gCearrbhach",Northern Ireland,2002,45370,https://en.wikipedia.org//wiki/Lisburn,54.512,-6.031
Liverpool,North West,1880,466415,https://en.wikipedia.org//wiki/Liverpool,53.4075,-2.99194
City of London,London,nan,7375,https://en.wikipedia.org//wiki/City_of_London,51.51556,-0.09306
Manchester,North West,1853,503127,https://en.wikipedia.org//wiki/Manchester,53.47944,-2.24528
Milton Keynes,South East,2022,248821,https://en.wikipedia.org//wiki/City_of_Milton_Keynes,52.033,-0.767
Newcastle upon Tyne,North East,1882,280177,https://en.wikipedia.org//wiki/Newcastle_upon_Tyne,54.98,-1.61
Newport,Wales,2002,145736,"https://en.wikipedia.org//wiki/Newport,_Wales",51.583,-3.0
"Newry, Iúr Cinn Trá, Newrie",Northern Ireland,2002,29946,https://en.wikipedia.org//wiki/Newry,54.176,-6.349
Norwich,East,1094,132512,https://en.wikipedia.org//wiki/Norwich,52.63,1.297
Nottingham,East Midlands,1897,305680,https://en.wikipedia.org//wiki/Nottingham,52.95333,-1.15
Oxford,South East,1542,151906,https://en.wikipedia.org//wiki/Oxford,51.75194,-1.25778
"Perth, Pairth, Peairt",Scotland,2012,45770,"https://en.wikipedia.org//wiki/Perth,_Scotland",56.39583,-3.43333
Peterborough,East,1541,183631,https://en.wikipedia.org//wiki/City_of_Peterborough,52.5725,-0.24306
Plymouth,South West,1928,256384,https://en.wikipedia.org//wiki/Plymouth,50.37139,-4.14222
Portsmouth,South East,1926,205056,https://en.wikipedia.org//wiki/Portsmouth,50.80583,-1.08722
Preston,North West,2002,140202,"https://en.wikipedia.org//wiki/City_of_Preston,_Lancashire",53.759,-2.699
Ripon,Yorkshire and the Humber,1865,16702,https://en.wikipedia.org//wiki/Ripon,54.138,-1.524
Salford,North West,1926,233933,https://en.wikipedia.org//wiki/City_of_Salford,53.50972,-2.33444
Salisbury,South West,1227,40302,https://en.wikipedia.org//wiki/Salisbury,51.07,-1.79
Sheffield,Yorkshire and the Humber,1893,552698,https://en.wikipedia.org//wiki/City_of_Sheffield,53.383,-1.467
Southampton,South East,1964,236882,https://en.wikipedia.org//wiki/Southampton,50.9025,-1.40417
Southend-on-Sea,East,2022,173658,https://en.wikipedia.org//wiki/City_of_Southend-on-Sea,51.55,0.71
St Albans,East,1877,140644,https://en.wikipedia.org//wiki/St_Albans_City_and_District,51.783,-0.333
St Asaph,Wales,2012,3355,https://en.wikipedia.org//wiki/St_Asaph,53.258,-3.442
St Davids,Wales,1994,1841,https://en.wikipedia.org//wiki/St_Davids,51.882,-5.269
"Stirling, Stirlin, Sruighlea",Scotland,2002,34790,https://en.wikipedia.org//wiki/Stirling,56.1166,-3.9369
